Time[S],CH4 Volt[V]
3.825e-005,-616.000,
3.83e-005,-600.000,
3.835e-005,-592.000,
3.84e-005,-576.000,
3.845e-005,-560.000,
3.85e-005,-544.000,
3.855e-005,-528.000,
3.86e-005,-512.000,
3.865e-005,-496.000,
3.87e-005,-480.000,
3.875e-005,-464.000,
3.88e-005,-448.000,
3.885e-005,-424.000,
3.89e-005,-400.000,
3.895e-005,-384.000,
3.9e-005,-360.000,
3.905e-005,-344.000,
3.91e-005,-320.000,
3.915e-005,-304.000,
3.92e-005,-280.000,
3.925e-005,-264.000,
3.93e-005,-232.000,
3.935e-005,-216.000,
3.94e-005,-192.000,
3.945e-005,-168.000,
3.95e-005,-144.000,
3.955e-005,-120.000,
3.96e-005,-104.000,
3.965e-005,-80.000,
3.97e-005,-56.000,
3.975e-005,-32.000,
3.98e-005,-8.000,
3.985e-005,16.000,
3.99e-005,40.000,
3.995e-005,64.000,
4e-005,88.000,
4.005e-005,104.000,
4.01e-005,136.000,
4.015e-005,152.000,
4.02e-005,176.000,
4.025e-005,200.000,
4.03e-005,224.000,
4.035e-005,248.000,
4.04e-005,264.000,
4.045e-005,288.000,
4.05e-005,312.000,
4.055e-005,336.000,
4.06e-005,352.000,
4.065e-005,368.000,
4.07e-005,400.000,
4.075e-005,416.000,
4.08e-005,440.000,
4.085e-005,456.000,
4.09e-005,472.000,
4.095e-005,496.000,
4.1e-005,512.000,
4.105e-005,528.000,
4.11e-005,544.000,
4.115e-005,560.000,
4.12e-005,568.000,
4.125e-005,584.000,
4.13e-005,608.000,
4.135e-005,616.000,
4.14e-005,624.000,
4.145e-005,640.000,
4.15e-005,656.000,
4.155e-005,664.000,
4.16e-005,680.000,
4.165e-005,680.000,
4.17e-005,696.000,
4.175e-005,704.000,
4.18e-005,712.000,
4.185e-005,720.000,
4.19e-005,720.000,
4.195e-005,728.000,
4.2e-005,736.000,
4.205e-005,744.000,
4.21e-005,744.000,
4.215e-005,752.000,
4.22e-005,744.000,
4.225e-005,752.000,
4.23e-005,752.000,
4.235e-005,752.000,
4.24e-005,752.000,
4.245e-005,752.000,
4.25e-005,744.000,
4.255e-005,744.000,
4.26e-005,744.000,
4.265e-005,736.000,
4.27e-005,728.000,
4.275e-005,728.000,
4.28e-005,720.000,
4.285e-005,712.000,
4.29e-005,704.000,
4.295e-005,696.000,
4.3e-005,688.000,
4.305e-005,672.000,
4.31e-005,664.000,
4.315e-005,648.000,
4.32e-005,640.000,
4.325e-005,632.000,
4.33e-005,616.000,
4.335e-005,600.000,
4.34e-005,592.000,
4.345e-005,576.000,
4.35e-005,552.000,
4.355e-005,536.000,
4.36e-005,528.000,
4.365e-005,512.000,
4.37e-005,488.000,
4.375e-005,472.000,
4.38e-005,456.000,
4.385e-005,440.000,
4.39e-005,416.000,
4.395e-005,400.000,
4.4e-005,376.000,
4.405e-005,360.000,
4.41e-005,336.000,
4.415e-005,320.000,
4.42e-005,288.000,
4.425e-005,272.000,
4.43e-005,248.000,
4.435e-005,224.000,
4.44e-005,200.000,
4.445e-005,176.000,
4.45e-005,160.000,
4.455e-005,136.000,
4.46e-005,112.000,
4.465e-005,88.000,
4.47e-005,64.000,
4.475e-005,40.000,
4.48e-005,16.000,
4.485e-005,-8.000,
4.49e-005,-32.000,
4.495e-005,-56.000,
4.5e-005,-72.000,
4.505e-005,-96.000,
4.51e-005,-120.000,
4.515e-005,-144.000,
4.52e-005,-168.000,
4.525e-005,-192.000,
4.53e-005,-216.000,
4.535e-005,-232.000,
4.54e-005,-256.000,
4.545e-005,-280.000,
4.55e-005,-304.000,
4.555e-005,-320.000,
4.56e-005,-344.000,
4.565e-005,-360.000,
4.57e-005,-384.000,
4.575e-005,-408.000,
4.58e-005,-424.000,
4.585e-005,-440.000,
4.59e-005,-464.000,
4.595e-005,-480.000,
4.6e-005,-504.000,
4.605e-005,-512.000,
4.61e-005,-536.000,
4.615e-005,-544.000,
4.62e-005,-560.000,
4.625e-005,-576.000,
4.63e-005,-600.000,
4.635e-005,-600.000,
4.64e-005,-616.000,
4.645e-005,-632.000,
4.65e-005,-640.000,
4.655e-005,-656.000,
4.66e-005,-672.000,
4.665e-005,-672.000,
4.67e-005,-680.000,
4.675e-005,-696.000,
4.68e-005,-696.000,
4.685e-005,-712.000,
4.69e-005,-712.000,
4.695e-005,-720.000,
4.7e-005,-728.000,
4.705e-005,-728.000,
4.71e-005,-736.000,
4.715e-005,-736.000,
4.72e-005,-744.000,
4.725e-005,-736.000,
4.73e-005,-744.000,
4.735e-005,-752.000,
4.74e-005,-744.000,
4.745e-005,-744.000,
4.75e-005,-744.000,
4.755e-005,-728.000,
4.76e-005,-728.000,
4.765e-005,-728.000,
4.77e-005,-720.000,
4.775e-005,-712.000,
4.78e-005,-704.000,
4.785e-005,-704.000,
4.79e-005,-696.000,
4.795e-005,-688.000,
4.8e-005,-672.000,
4.805e-005,-664.000,
4.81e-005,-656.000,
4.815e-005,-648.000,
4.82e-005,-632.000,
4.825e-005,-624.000,
4.83e-005,-608.000,
4.835e-005,-600.000,
4.84e-005,-576.000,
4.845e-005,-560.000,
4.85e-005,-552.000,
4.855e-005,-528.000,
4.86e-005,-512.000,
4.865e-005,-496.000,
4.87e-005,-480.000,
4.875e-005,-464.000,
4.88e-005,-440.000,
4.885e-005,-424.000,
4.89e-005,-408.000,
4.895e-005,-384.000,
4.9e-005,-368.000,
4.905e-005,-344.000,
4.91e-005,-320.000,
4.915e-005,-304.000,
4.92e-005,-280.000,
4.925e-005,-256.000,
4.93e-005,-232.000,
4.935e-005,-216.000,
4.94e-005,-192.000,
4.945e-005,-168.000,
4.95e-005,-152.000,
4.955e-005,-120.000,
4.96e-005,-96.000,
4.965e-005,-80.000,
4.97e-005,-48.000,
4.975e-005,-32.000,
4.98e-005,-8.000,
4.985e-005,16.000,
4.99e-005,40.000,
4.995e-005,64.000,
5e-005,88.000,
5.005e-005,104.000,
5.01e-005,136.000,
5.015e-005,160.000,
5.02e-005,176.000,
5.025e-005,200.000,
5.03e-005,224.000,
5.035e-005,248.000,
5.04e-005,272.000,
5.045e-005,296.000,
5.05e-005,312.000,
5.055e-005,336.000,
5.06e-005,352.000,
5.065e-005,368.000,
5.07e-005,400.000,
5.075e-005,416.000,
5.08e-005,432.000,
5.085e-005,456.000,
5.09e-005,472.000,
5.095e-005,488.000,
5.1e-005,504.000,
5.105e-005,520.000,
5.11e-005,536.000,
5.115e-005,552.000,
5.12e-005,568.000,
5.125e-005,592.000,
5.13e-005,608.000,
5.135e-005,616.000,
5.14e-005,632.000,
5.145e-005,640.000,
5.15e-005,656.000,
5.155e-005,664.000,
5.16e-005,680.000,
5.165e-005,680.000,
5.17e-005,696.000,
5.175e-005,704.000,
5.18e-005,712.000,
5.185e-005,720.000,
5.19e-005,728.000,
5.195e-005,728.000,
5.2e-005,736.000,
5.205e-005,744.000,
5.21e-005,744.000,
5.215e-005,744.000,
5.22e-005,752.000,
5.225e-005,752.000,
5.23e-005,752.000,
5.235e-005,752.000,
5.24e-005,752.000,
5.245e-005,752.000,
5.25e-005,752.000,
5.255e-005,744.000,
5.26e-005,736.000,
5.265e-005,736.000,
5.27e-005,728.000,
5.275e-005,720.000,
5.28e-005,720.000,
5.285e-005,712.000,
5.29e-005,704.000,
5.295e-005,696.000,
5.3e-005,688.000,
5.305e-005,672.000,
5.31e-005,664.000,
5.315e-005,656.000,
5.32e-005,640.000,
5.325e-005,632.000,
5.33e-005,616.000,
5.335e-005,600.000,
5.34e-005,592.000,
5.345e-005,576.000,
5.35e-005,552.000,
5.355e-005,544.000,
5.36e-005,520.000,
5.365e-005,504.000,
5.37e-005,496.000,
5.375e-005,464.000,
5.38e-005,456.000,
5.385e-005,432.000,
5.39e-005,416.000,
5.395e-005,392.000,
5.4e-005,376.000,
5.405e-005,360.000,
5.41e-005,336.000,
5.415e-005,312.000,
5.42e-005,296.000,
5.425e-005,272.000,
5.43e-005,248.000,
5.435e-005,224.000,
5.44e-005,200.000,
5.445e-005,184.000,
5.45e-005,160.000,
5.455e-005,136.000,
5.46e-005,112.000,
5.465e-005,80.000,
5.47e-005,64.000,
5.475e-005,40.000,
5.48e-005,16.000,
5.485e-005,-8.000,
5.49e-005,-32.000,
5.495e-005,-56.000,
5.5e-005,-80.000,
5.505e-005,-104.000,
5.51e-005,-128.000,
5.515e-005,-152.000,
5.52e-005,-168.000,
5.525e-005,-192.000,
5.53e-005,-216.000,
5.535e-005,-240.000,
5.54e-005,-264.000,
5.545e-005,-280.000,
5.55e-005,-304.000,
5.555e-005,-320.000,
5.56e-005,-344.000,
5.565e-005,-368.000,
5.57e-005,-384.000,
5.575e-005,-400.000,
5.58e-005,-424.000,
5.585e-005,-448.000,
5.59e-005,-464.000,
5.595e-005,-480.000,
5.6e-005,-496.000,
5.605e-005,-520.000,
